team_id,Player,DOB,seasons
adelaide,"Walker, Taylor",1990-04-25,2009
adelaide,"Walker, Taylor",1990-04-25,2010
adelaide,"Walker, Taylor",1990-04-25,2011
adelaide,"Walker, Taylor",1990-04-25,2012
adelaide,"Walker, Taylor",1990-04-25,2013
adelaide,"Walker, Taylor",1990-04-25,2014
adelaide,"Walker, Taylor",1990-04-25,2015
adelaide,"Walker, Taylor",1990-04-25,2016
adelaide,"Walker, Taylor",1990-04-25,2017
adelaide,"Walker, Taylor",1990-04-25,2018
adelaide,"Walker, Taylor",1990-04-25,2019
adelaide,"Walker, Taylor",1990-04-25,2020
adelaide,"Walker, Taylor",1990-04-25,2021
adelaide,"Walker, Taylor",1990-04-25,2022
adelaide,"Walker, Taylor",1990-04-25,2023
adelaide,"Walker, Taylor",1990-04-25,2024
adelaide,"Laird, Rory",1993-12-29,2013
adelaide,"Laird, Rory",1993-12-29,2014
adelaide,"Laird, Rory",1993-12-29,2015
adelaide,"Laird, Rory",1993-12-29,2016
adelaide,"Laird, Rory",1993-12-29,2017
adelaide,"Laird, Rory",1993-12-29,2018
adelaide,"Laird, Rory",1993-12-29,2019
adelaide,"Laird, Rory",1993-12-29,2020
adelaide,"Laird, Rory",1993-12-29,2021
adelaide,"Laird, Rory",1993-12-29,2022
adelaide,"Laird, Rory",1993-12-29,2023
adelaide,"Laird, Rory",1993-12-29,2024
adelaide,"Crouch, Matt",1995-04-21,2014
adelaide,"Crouch, Matt",1995-04-21,2015
adelaide,"Crouch, Matt",1995-04-21,2016
adelaide,"Crouch, Matt",1995-04-21,2017
adelaide,"Crouch, Matt",1995-04-21,2018
adelaide,"Crouch, Matt",1995-04-21,2019
adelaide,"Crouch, Matt",1995-04-21,2020
adelaide,"Crouch, Matt",1995-04-21,2022
adelaide,"Crouch, Matt",1995-04-21,2023
adelaide,"Crouch, Matt",1995-04-21,2024
adelaide,"OBrien, Reilly",1995-08-20,2016
adelaide,"OBrien, Reilly",1995-08-20,2019
adelaide,"OBrien, Reilly",1995-08-20,2020
adelaide,"OBrien, Reilly",1995-08-20,2021
adelaide,"OBrien, Reilly",1995-08-20,2022
adelaide,"OBrien, Reilly",1995-08-20,2023
adelaide,"OBrien, Reilly",1995-08-20,2024
adelaide,"Murphy, Lachlan",1998-12-04,2018
adelaide,"Murphy, Lachlan",1998-12-04,2019
adelaide,"Murphy, Lachlan",1998-12-04,2020
adelaide,"Murphy, Lachlan",1998-12-04,2021
adelaide,"Murphy, Lachlan",1998-12-04,2022
adelaide,"Murphy, Lachlan",1998-12-04,2023
adelaide,"Murphy, Lachlan",1998-12-04,2024
adelaide,"Keays, Ben",1997-02-23,2020
adelaide,"Keays, Ben",1997-02-23,2021
adelaide,"Keays, Ben",1997-02-23,2022
adelaide,"Keays, Ben",1997-02-23,2023
adelaide,"Keays, Ben",1997-02-23,2024
adelaide,"Fogarty, Darcy",1999-09-25,2018
adelaide,"Fogarty, Darcy",1999-09-25,2019
adelaide,"Fogarty, Darcy",1999-09-25,2020
adelaide,"Fogarty, Darcy",1999-09-25,2021
adelaide,"Fogarty, Darcy",1999-09-25,2022
adelaide,"Fogarty, Darcy",1999-09-25,2023
adelaide,"Fogarty, Darcy",1999-09-25,2024
adelaide,"Jones, Chayce",2000-01-14,2019
adelaide,"Jones, Chayce",2000-01-14,2020
adelaide,"Jones, Chayce",2000-01-14,2021
adelaide,"Jones, Chayce",2000-01-14,2022
adelaide,"Jones, Chayce",2000-01-14,2023
adelaide,"Jones, Chayce",2000-01-14,2024
adelaide,"Sholl, Lachlan",2000-03-07,2020
adelaide,"Sholl, Lachlan",2000-03-07,2021
adelaide,"Sholl, Lachlan",2000-03-07,2022
adelaide,"Sholl, Lachlan",2000-03-07,2023
adelaide,"Sholl, Lachlan",2000-03-07,2024
adelaide,"Dawson, Jordan",1997-04-09,2022
adelaide,"Dawson, Jordan",1997-04-09,2023
adelaide,"Dawson, Jordan",1997-04-09,2024
adelaide,"Hinge, Mitch",1998-06-26,2021
adelaide,"Hinge, Mitch",1998-06-26,2022
